Name,Disaster,Begin_Date,End_Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,State
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,NY
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,OH
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,OK
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,PA
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,SC
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,TN
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,TX
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,VA
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,VT
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,WV
Southern Flooding (May 1990),Flooding,5/11/90,5/19/90,2356.2,13,TX
Southern Flooding (May 1990),Flooding,5/11/90,5/19/90,0,0,OK
Southern Flooding (May 1990),Flooding,5/11/90,5/19/90,0,0,LA
Southern Flooding (May 1990),Flooding,5/11/90,5/19/90,0,0,AR
Colorado Hail Storm (July 1990),Severe Storm,7/11/90,7/11/90,1894.3,0,CO
Western Fire Season (Summer 1990),Wildfire,6/1/90,8/31/90,1637.5,17,CA
California Freeze (December 1990),Freeze,12/18/90,12/25/90,8058,0,CA
"Severe Storms, Tornadoes (March 1991)",Tornadoes,3/26/91,3/29/91,1444.9,0,KS
"Severe Storms, Tornadoes (March 1991)",Tornadoes,3/26/91,3/29/91,0,0,IL
"Severe Storms, Tornadoes (March 1991)",Tornadoes,3/26/91,3/29/91,0,0,MI
"Severe Storms, Tornadoes (March 1991)",Tornadoes,3/26/91,3/29/91,0,0,IN
"Severe Storms, Tornadoes (March 1991)",Tornadoes,3/26/91,3/29/91,0,0,MS
"Severe Storms, Tornadoes (March 1991)",Tornadoes,3/26/91,3/29/91,0,0,TN
"Severe Storms, Tornadoes (March 1991)",Tornadoes,3/26/91,3/29/91,0,0,KY
"Severe Storms, Tornadoes (March 1991)",Tornadoes,3/26/91,3/29/91,0,0,OH
"Severe Storms, Tornadoes (March 1991)",Tornadoes,3/26/91,3/29/91,0,0,AL
"Severe Storms, Tornadoes (March 1991)",Tornadoes,3/26/91,3/29/91,0,0,PA
"Severe Storms, Tornadoes (March 1991)",Tornadoes,3/26/91,3/29/91,0,0,NY
"Severe Storms, Tornadoes (March 1991)",Tornadoes,3/26/91,3/29/91,0,0,GA
"Severe Storms, Tornadoes (March 1991)",Tornadoes,3/26/91,3/29/91,0,0,SC
"Severe Storms, Tornadoes (March 1991)",Tornadoes,3/26/91,3/29/91,0,0,NC
Hurricane Bob (August 1991),Tropical Cyclone,8/18/91,8/20/91,3321.4,18,NC
Hurricane Bob (August 1991),Tropical Cyclone,8/18/91,8/20/91,0,0,RI
U.S. Drought (Spring-Summer 1991),Drought,3/1/91,8/31/91,6738.9,0,IL
U.S. Drought (Spring-Summer 1991),Drought,3/1/91,8/31/91,0,0,IN
U.S. Drought (Spring-Summer 1991),Drought,3/1/91,8/31/91,0,0,KS
U.S. Drought (Spring-Summer 1991),Drought,3/1/91,8/31/91,0,0,MN
U.S. Drought (Spring-Summer 1991),Drought,3/1/91,8/31/91,0,0,OH
U.S. Drought (Spring-Summer 1991),Drought,3/1/91,8/31/91,0,0,OR
U.S. Drought (Spring-Summer 1991),Drought,3/1/91,8/31/91,0,0,PA
U.S. Drought (Spring-Summer 1991),Drought,3/1/91,8/31/91,0,0,SD
U.S. Drought (Spring-Summer 1991),Drought,3/1/91,8/31/91,0,0,WA
Oakland Firestorm (October 1991),Wildfire,10/1/91,10/31/91,7260,25,OK
Oakland Firestorm (October 1991),Wildfire,10/1/91,10/31/91,0,0,CA
Severe Storms (March 1992),Tornadoes,3/24/92,3/25/92,1745.4,0,TX
Severe Storms (March 1992),Tornadoes,3/24/92,3/25/92,0,0,LA
Severe Storms (March 1992),Tornadoes,3/24/92,3/25/92,0,0,FL
"Hail, Tornadoes (April 1992)",Tornadoes,4/28/92,4/29/92,2061.5,0,KS
"Hail, Tornadoes (April 1992)",Tornadoes,4/28/92,4/29/92,0,0,OK
"Severe Storms, Hail (June 1992)",Severe Storm,6/19/92,6/20/92,1608.2,0,KS
"Severe Storms, Hail (June 1992)",Severe Storm,6/19/92,6/20/92,0,0,OK
Hurricane Andrew (August 1992),Tropical Cyclone,8/23/92,8/27/92,57780,61,FL
Hurricane Iniki (September 1992),Tropical Cyclone,9/11/92,9/12/92,6634,7,HI
Southeast Severe Weather (November 1992),Severe Storm,11/21/92,11/23/92,1399.4,26,TX
